Mission name,Value,Organisation,Nation,Type (U/mass),Launch date,Status,Mission description,Link,Link_full,
KSU_CubeSat (KSU CubeSat),沙特国王大学立方星,King Saud University,Saudi Arabia,1U,3/22/21,Operational,Planning to send telemetry and images from space and repeating a received voice.,sat/ksu-cubesat.html,https://www.nanosats.eu/sat/ksu-cubesat.html,
Myriota 7 (Tyvak-0152),迈瑞奥塔7号,Myriota,Australia,3U,3/22/21,Operational,Constellation towards providing real-time IoT connectivity.,sat/myriota.html,https://www.nanosats.eu/sat/myriota.html,
NANOSATC-BR2,巴西纳卫星C2,National Institute for Space Research,Brazil,2U,3/22/21,Was semi-operational,"Langmuir probe, attitude determination system.",sat/nanosatc-br2.html,https://www.nanosats.eu/sat/nanosatc-br2.html,
"OrbiCraft - Zorkiy (Zorky, Space-PI, Space π)",佐尔基轨道飞行器,Sputnix,Russia,6U,3/22/21,Operational,Demonstration of new CubeSat platform and remote sensing camera with 6.6 meter resolution.,sat/orbicraft-zorkiy.html,https://www.nanosats.eu/sat/orbicraft-zorkiy.html,
RAAF M2 A (M2-A),澳大利亚皇家空军任务2A,University of New South Wales (UNSW Canberra),Australia,6U (1/2 12U),3/22/21,Operational,Deliver to the RAAF AIS / ADS-B capability across the globe using COTS AIS and ADS-B systems.,sat/raaf-m2.html,https://www.nanosats.eu/sat/raaf-m2.html,
"SAMSON A (Adelis-SAMSON, Space Autonomous Mission for Swarming and Geolocating Nanosatellites)",参孙卫星,Israel Institute Of Technology,Israel,6U,3/22/21,"Unknown, ?",Demonstrate long-term autonomous cluster flight of multiple satellites.,sat/samson.html,https://www.nanosats.eu/sat/samson.html,
SMOG-1,烟雾1号,Budapest University of Technology and Economics,Hungary,PocketQube 1p,3/22/21,Operational,It's mission is to measure the RF spectrum (430-830MHz) in the Low Earth Orbit.,sat/smog-1.html,https://www.nanosats.eu/sat/smog-1.html,
STECCO (Space Travelling Egg Controlled Catadioptric Object),水滴,Sapienza University of Rome,Italy,PocketQube 6p,3/22/21,Operational,Educational mission with amateur radio payload.,sat/stecco.html,https://www.nanosats.eu/sat/stecco.html,
"Veery Hatchling (Veery-RL1, Veery V0.1, Clay)",夜鸫RL-1,Care Weather,US,1U,3/22/21,Operational,Building phone—sized weather satellites to power a super accurate forecast.,sat/hatchling-veery.html,https://www.nanosats.eu/sat/hatchling-veery.html,
"WildTrackCube – SIMBA (System for Improving Monitoring the Behaviour of Animals, IKUNS 3)",野外追踪立方-改进动物监测系统,Sapienza University of Rome,Italy,1U,3/22/21,Operational,System for Improving monitoring the behaviour of animals and amateur radio mission.,sat/wildtrackcube.html,https://www.nanosats.eu/sat/wildtrackcube.html,
"ELO Alpha (Tyvak-182A, Eutelsat LEO for Objects)",欧卫通低轨物联1号,Eutelsat,US,3U,4/29/21,Operational,Assess the performance of LEO satellites in providing narrowband connectivity for objects.,sat/elo.html,https://www.nanosats.eu/sat/elo.html,
"Tyvak-0130 (GEOStare SV2, GEOStare-2)",地球凝视者2号,Tyvak,US,12U,5/15/21,Operational,Optical spectrum astronomy observation satellite with GEOstare 2 payload.,sat/tyvak-0130.html,https://www.nanosats.eu/sat/tyvak-0130.html,
"TDO-3 (Technology Demonstration Orbiter, TDO 3 Spacecraft)",碎片跟踪轨道器3号,Air Force Research Laboratory (AFRL),US,12U,5/18/21,"Reentered, Unknown, Passive, ?",Second CubeSat in GTO. Test orbital debris tracking technologies.,sat/tdo-3-4.html,https://www.nanosats.eu/sat/tdo-3-4.html,
"MIR-SAT1 (Mauritian Infrared Satellite, Mir-Sat-1, MirSat1)",毛里求斯红外卫星1号,Mauritius Research Council,Mauritius,1U,6/3/21,"Reentered, Operational",Collecting images of Mauritius and surrounding regions using longwave infrared (LWIR) thermal camera.,sat/mir-sat1.html,https://www.nanosats.eu/sat/mir-sat1.html,
RamSat,撞击卫星,Oak Ridge Public Schools,US,1U,6/3/21,"Reentered, Operational",Education mission to develop and implement a middle school STEM curriculum for building a CubeSat.,sat/ramsat.html,https://www.nanosats.eu/sat/ramsat.html,
"SOAR (Satellite for Orbital Aerodynamics Research, DISCOVERER)",轨道空气动力学研究卫星,The University of Manchester,UK,3U,6/3/21,"Reentered, Operational",Demonstrate aerodynamic attitude and orbit control manoeuvres.,sat/soar.html,https://www.nanosats.eu/sat/soar.html,
"ARTHUR, (RRF1-Arthur, Risk Reduction Flight ARTHUR-1)",亚瑟1号,Aerospacelab,Belgium,12U,6/30/21,Operational,Demonstrate spacecraft bus technologies and 5 meter Earth imagery for a future constellation.,sat/rrf1-arthur.html,https://www.nanosats.eu/sat/rrf1-arthur.html,
"Brik2 (Brik-II, BRIK-II)",布里克2号,Royal Netherlands Air Force,Netherlands,6U,6/30/21,Operational,Military RF receiver and Langmuir probe to measure electron density.,sat/brik2.html,https://www.nanosats.eu/sat/brik2.html,
"CNCE1 (Cubesat Networked Communications Experiment, CNCE Block 1)",立方星网络通信实验,Missile Defense Agency,US,3U,6/30/21,"Reentered, Retired, Operational",The cubesats will mimic two suborbital missile interceptor vehicles and test communications between them.,sat/cnce-block-1.html,https://www.nanosats.eu/sat/cnce-block-1.html,
D2/AtlaCom-1,D2/亚达康1号,Mexican Space Agency,Mexico,6U,6/30/21,Operational,"Rideshare mission of a consortium called “HyperActive”, and an electric propulsion demonstration by Accion Systems.",sat/d2-atlacom.html,https://www.nanosats.eu/sat/d2-atlacom.html,
GHALIB,迦利布,Marshall Intec,United Arab Emirates,2U,6/30/21,Operational,"Demonstrator turn-key mission for space-based tracking of falcon migration, which could become a 6 satellite constellation.",sat/ghalib.html,https://www.nanosats.eu/sat/ghalib.html,
HALO-Net Free Flyer,光环网自由飞行者,US Navy,US,3U,6/30/21,"Reentered, Unknown",Primary experiment on HALO-Net Free Flyer is the retroreflector array.,sat/halo-net-free-flyer.html,https://www.nanosats.eu/sat/halo-net-free-flyer.html,
LINCS1 A (Laser Interconnet & Communications System),激光互连与通信系统,Space Development Agency,US,12U,6/30/21,"No signal, ?",Optical communications terminals that use lasers to beam data across space.,sat/lincs.html,https://www.nanosats.eu/sat/lincs.html,
"NAPA-2 (RTAF-Sat, RTAFSAT-2, Royal Thai Air Force CubeSat, Firmament-2)",泰国皇家空军2号,Royal Thai Air Force,Thailand,6U,6/30/21,Operational,Earth Observation satellite for Public Protection and Disaster Relief (PPDR).,sat/napa-2.html,https://www.nanosats.eu/sat/napa-2.html,
NEPTUNO (NEPT-1),海王星号,Elecnor Deimos,Spain,3U,6/30/21,Operational,Constellation demonstrator that contributes to a solution that faces the main challenges of maritime surveillance.,sat/neptuno.html,https://www.nanosats.eu/sat/neptuno.html,
PACE-1 (Payload Accelerator for CubeSat Endeavors),立方载荷加速器-奋进1号,NASA Ames Research Center,US,6U,6/30/21,"No signal, ?",Perform a set of experiments to demonstrate the Advanced Development Projects (ADP) technology.,sat/pace-1.html,https://www.nanosats.eu/sat/pace-1.html,
Painani-II (Painani 2),帕尼亚尼2号,University of the Mexican Army and Air Force,Mexico,3U,6/30/21,"No signal, ?",It will carry a low resolution camera and proposes an S Band downlink using frequency hopping technology for the images.,sat/painani-2.html,https://www.nanosats.eu/sat/painani-2.html,
"QMR-KWT (Moon of Kuwait, Kuwaiti Orbital Space CubeSat)",科威特之月,Orbital Space,Kuwait,1U,6/30/21,Operational,Educational mission and capacity building in the nation.,sat/qmr-kwt.html,https://www.nanosats.eu/sat/qmr-kwt.html,
"SPARTAN (Shared Sat, Shared Platform for Applied Research and Technology Affirmation)",共享卫星1号,EnduroSat,Bulgaria,6U,6/30/21,Operational,Seven technology demonstrations and commercial payloads.,sat/spartan.html,https://www.nanosats.eu/sat/spartan.html,
STORK-4,鹳卫星4号,SatRev,Poland,3U,6/30/21,"Reentered, Operational","Innovative shared platform with Earth-Observation capabilities. Aimed at in-orbit services, the mission currently has capacity for external payloads.",sat/stork.html,https://www.nanosats.eu/sat/stork.html,
Tiger-2 (Ayan-21),老虎2号,OQ Technology,Luxembourg,6U,6/30/21,Operational,Demonstrator for 5G NB-IoT constellation.,sat/tiger-2.html,https://www.nanosats.eu/sat/tiger-2.html,
TROPICS Pathfinder (The Time-Resolved Observations of Precipitation structure and storm Intensity with a Constellation of Smallsats),热带01,MIT (Massachusetts Institute of Technology),US,3U,6/30/21,Operational,Provide rapid-refresh microwave measurements over the tropics for weather prediction.,sat/tropics.html,https://www.nanosats.eu/sat/tropics.html,
"Tyvak-0173 (SIRION-3, EG 3, EG-3, EchoStar Global 3)",回响星全球星3号,EchoStar,US,16U,6/30/21,Operational,Two tiny S-band satellites to jumpstart a low-Earth-orbit constellation using spectrum gained through its acquisition of Helios Wire.,sat/tyvak-0173.html,https://www.nanosats.eu/sat/tyvak-0173.html,
W-Cube (wCUBE),W立方星,ESA (European Space Agency),Finland,3U,6/30/21,Operational,Demonstrate the use of the 75-GHz frequency W-band for future telecommunications satellites.,sat/w-cube.html,https://www.nanosats.eu/sat/w-cube.html,
LEDSAT (LED-based Satellite),发光二极管卫星,Sapienza University of Rome,Italy,1U,8/17/21,Operational,Equipped with LEDs and retroreflectors for optical tracking from ground.,sat/ledsat.html,https://www.nanosats.eu/sat/ledsat.html,
RADCUBE,弧度立方,C3S,Hungary,3U,8/17/21,Operational,Real-time monitoring of the cosmic radiation and space weather environment.,sat/radcube.html,https://www.nanosats.eu/sat/radcube.html,
"Sunstorm (XFM Cube, XFM CubeSat, Sunstorm-1, Sun-Storm)",太阳风暴,ESA (European Space Agency),Finland,2U,8/17/21,"Operational, Retired",Solar X-ray Flux Monitor to monitor solar x-ray flares.,sat/sunstorm.html,https://www.nanosats.eu/sat/sunstorm.html,
Binar 1 (Binar-1),必纳尔1号,Curtin University,Australia,1U,8/29/21,"Reentered, Semi-operational, ?",Test CubeSat technologies for deep space missions.,sat/binar.html,https://www.nanosats.eu/sat/binar.html,
CAPSat (Cool Annealing Payload Satellite),冷却退火定向卫星,University of Illinois Urbana-Champaign,US,3U,8/29/21,"Reentered, Was operational",Investigate attitude control with strain-actuated deployable panels plus active thermal system.,sat/capsat.html,https://www.nanosats.eu/sat/capsat.html,
"CUAVA-1 (Centre for CubeSats, Uncrewed Aerial Vehicles and their Applications)",夸瓦1号,University of Sydney,Australia,3U,8/29/21,"Reentered, No signal",Educational mission and multiple radio amateur community activities including W-band (76 GHz) transmitter.,sat/cuava-1.html,https://www.nanosats.eu/sat/cuava-1.html,
"Maya-3 (Maya-1.1, BIRDS-2S)",玛雅3号,STeP UP University of the Philippines,Philippines,1U,8/29/21,"Reentered, Operational",Educational and amateur radio mission with visual camera.,sat/maya-3-4.html,https://www.nanosats.eu/sat/maya-3-4.html,
"PR-CuNaR2 (Puerto Rico CubeSat NanoRocks-2, PR_CuNar2, PRCUNAR2)",波多黎各纳米岩石立方星2号,Inter American University of Puerto Rico,US,3U,8/29/21,"Reentered, No signal, ?",Study collisions among millimeter-sized particles in a protoplanetary disk.,sat/pr-cunar2.html,https://www.nanosats.eu/sat/pr-cunar2.html,
SPACE HAUC 1 (SPACE-HAUC),通信工程专业优秀本科生项目,University of Massachusetts,US,3U,8/29/21,"Reentered, No signal, ?",Educational training and X-band beam steering with phased array of patch antennas.,sat/space-hauc-1.html,https://www.nanosats.eu/sat/space-hauc-1.html,
"BSS1 (Starling, DFAST Benchmark CubeSat)",基准空间系统1号,Benchmark Space Systems,US,3U,9/2/21,Launch failure,Demonstrate DFAST propulsion system.,sat/bss1-dfast.html,https://www.nanosats.eu/sat/bss1-dfast.html,
FossaSat-2,福萨卫星2号,Fossa Systems,Spain,PocketQube 1p,9/2/21,Launch failure,Amateur radio mission with a small camera.,sat/fossasat-2.html,https://www.nanosats.eu/sat/fossasat-2.html,
GENESIS-L,起源L号,AMSAT-EA,Spain,PocketQube 1p,9/2/21,Launch failure,Provide radio amateur communication with a regenerative ASK repeater.,sat/genesis.html,https://www.nanosats.eu/sat/genesis.html,
Hiapo (HSTM CubeSat),夏威夷科技博物馆立方星,Hawaii Science and Technology Museum (HSTM),US,1U,9/2/21,Launch failure,Educational mission and measuring the electric field generated by the solar wind.,sat/hstm-cubesat.html,https://www.nanosats.eu/sat/hstm-cubesat.html,
Qubik 1,丘比克1号,Libre Space Foundation,Greece,PocketQube 1p,9/2/21,Launch failure,Designed for amateur radio service. Experiment with LEOP and passive RF orbit determination.,sat/qubik.html,https://www.nanosats.eu/sat/qubik.html,
Serenity,静谧号,Teachers in Space,US,3U,9/2/21,Launch failure,Educational mission to allow interaction with the CubeSat and blockchain for inter-satellite transactions.,sat/serenity.html,https://www.nanosats.eu/sat/serenity.html,
"Cesium Satellite 1 (CM1, Cesium Mission 1, CS1)",铯卫星1号,CesiumAstro,US,6U,9/27/21,Operational,Demonstrate active phased array and inter-satellite link payloads.,sat/cesium-satellite.html,https://www.nanosats.eu/sat/cesium-satellite.html,
CuPID (Cusp Plasma Imaging Detector),尖点等离子体成像探测器,Boston University,US,6U,9/27/21,"Was operational, ?",Carry a miniaturized soft x-ray imaging telescope.,sat/cupid.html,https://www.nanosats.eu/sat/cupid.html,
"CUTE (Colorado Ultraviolet Transit Experiment, CUTE-LASP)",科罗拉多紫外传输实验,University of Colorado Boulder,US,6U,9/27/21,Operational,Characterize the composition and mass-loss rates of exoplanet atmospheres.,sat/cute.html,https://www.nanosats.eu/sat/cute.html,
SSS-2A,SJTU思源一号,Shanghai Jiao Tong University (SJTU),China,3U,10/14/21,Operational,Educational training and capacity building in space technology development.,sat/sss-2a.html,https://www.nanosats.eu/sat/sss-2a.html,
Tianyuan-1,田园一号,Nanjing University of Science and Technology,China,6U,10/14/21,Unknown,Demonstration of subsystems and cold-gas thruster.,sat/tianyuan-1.html,https://www.nanosats.eu/sat/tianyuan-1.html,
ARICA (AGU Remote Innovative CubeSat Alert),青山大学远程预警创新立方星,Aoyama Gakuin University,Japan,1U,11/9/21,No signal,Demonstrate Iridium and Globalstar modemds for real-time alert system.,sat/arica.html,https://www.nanosats.eu/sat/arica.html,
ASTERISC (Advanced Satellite Toward Exploration of dust enviRonment with In-Situ Cosmic dust sensor),星印号,Chiba Institute of Technology,Japan,3U,11/9/21,Operational,Monitor interplanetary dust particles (IDPs) and artificial debris particles in low Earth orbit.,sat/asterisc.html,https://www.nanosats.eu/sat/asterisc.html,
KOSEN-1,弧线1号,National Institute of Technology,Japan,2U,11/9/21,Operational,Educational mission and demonstrate CubeSat platform technologies.,sat/kosen-1.html,https://www.nanosats.eu/sat/kosen-1.html,
NanoDragon,纳米龙,Vietnam National Satellite Center,Vietnam,10 kg,11/9/21,No signal,-,sat/nanodragon.html,https://www.nanosats.eu/sat/nanodragon.html,
"LICIACube (Light Italian Cubesat for Imaging of Asteroids, LICIA)",小行星成像轻型意大利立方星,Italian Space Agency,Italy,6U,11/24/21,"Operational, ?","After traveling 16 months on DART, will be released in order to monitor all effects of the impact.",sat/liciacube.html,https://www.nanosats.eu/sat/liciacube.html,
ASCENT,上升卫星,Air Force Research Laboratory (AFRL),US,12U,12/7/21,Operational,Demonstrate various CubeSat operations in geostationary orbit (GEO). AFRL will provide and integrate the ASCENT payload.,sat/ascent.html,https://www.nanosats.eu/sat/ascent.html,
Baoyun (Tiansuan constellation),宝酝号,Spacety,China,12U,12/7/21,"Reentered, Unknown, ?",GNSS occultation detection payload.,sat/baoyun.html,https://www.nanosats.eu/sat/baoyun.html,
"Lize1 (Lize-1, LIZE 1, Tiansuan constellation)",丽泽一号,Spacety,China,12U,12/7/21,"Reentered, Unknown, ?","Lize-1 is a test of a new platform and for constellation networking tests, with the involvement of two private companies.",sat/lize-1.html,https://www.nanosats.eu/sat/lize-1.html,
"Tianjin University-1 (Tianjin University No.1, Tianjin Daxue 1)",天津大学一号,Changguang Satellite Technology,China,12U,12/7/21,"Unknown, ?",Infrared remote sensing satellite.,sat/tianjin-university-1.html,https://www.nanosats.eu/sat/tianjin-university-1.html,
DAILI (Daily Atmospheric Ionospheric Limb Imager Mission),电离层边缘日常成像仪,Aerospace Corporation,US,6U (1x6U),12/21/21,"Reentered, Was operational, ?",Studies dynamic changes in Earth's neutral/ionosphere density in the ~140 km - 290 km altitude region.,sat/daili.html,https://www.nanosats.eu/sat/daili.html,
GASPACS (Get Away Special Passive Attitude Control Satellite),逍遥法外被动姿控卫星,Utah State University,US,1U,12/21/21,"Reentered, Operational",Deploy and rigidize a 1 meter long inflatable UV cured boom.,sat/gaspacs.html,https://www.nanosats.eu/sat/gaspacs.html,
